place;name;team;games;avg_kegel;mp;plus_ae
1;Anni;Noack Jugend;2;532,5;2,0;0
2;Bruno;Vujnovic Jugend;1;528,0;1,0;1
3;Ralf Mahnecke (EO);KSC IV (g);2;499,0;1,0;0
4;Torsten Schwarz Klee;III (g);3;497,3;2,0;0
5;Klaus Winkler CKC;III (M);3;488,0;2,0;0
6;Annette Lexow Luft;II (g);2;487,0;2,0;0
7;Melanie Wudtke (G);CKC II (F);2;476,0;1,0;0
8;Toni;Kricke Jugend;1;475,0;1,0;1
9;Maureen Liersch Luft;II (g);3;472,0;2,0;0
10;Charlotte Lischke;(U14) Jugend;3;470,7;3,0;0
11;Ingrid Voigt;KSC IV (g);3;470,3;1,0;0
12;Emilian;Liss Jugend;3;469,3;1,0;0
13;Thomas Ladach Luft;II (g);2;467,0;2,0;0
14;Peter Malter CKC;III (M);2;466,0;2,0;0
15;Florian;Weber Jugend;1;457,0;1,0;0
16;Julia Reuter Klee;III (g);3;455,7;0,0;0
17;Gabriele Scheffner;KSC IV (g);1;451,0;1,0;0
17;Klaus Henschke CKC;III (M);2;451,0;1,0;0
17;Kurt Krüger CKC;III (M);2;451,0;1,0;0
20;Gisela Ludwig CKC;II (F);2;447,0;0,0;0
21;Torsten Reuter Klee;III (g);2;446,0;1,0;0
22;Sabine Gültzow CKC;II (F);2;444,5;0,0;0
23;Monika Isensee Klee;III (g);1;444,0;0,0;1
24;Katrin Kruber Klee;III (g);1;439,0;1,0;0
25;Robert Schild;KSC IV (g);2;438,5;0,0;0
26;Marianne Wudtke (G);CKC II (F);2;438,0;1,0;0
27;Wolfgang Thiede CKC;III (M);1;437,0;1,0;0
28;Tini Müller Klee;III (g);1;426,0;0,0;0
29;Bodo Liersch Luft;II (g);1;424,0;1,0;0
30;Rainer Günther CKC;III (M);2;420,5;1,0;0
31;Carsten Woyke (EO);Luft II (g);1;415,0;0,0;0
32;Peter Mahr;KSC IV (g);1;410,0;0,0;2
33;Karin Heinert CKC;II (F);1;406,0;0,0;0
34;Klaus Pirl Luft;II (g);2;398,5;1,0;0
35;Thorsten Grätz Luft;II (g);1;373,0;0,0;0
36;Stefan Porzig;KSC IV (g);1;360,0;0,0;2
37;Marina Kempke CKC;II (F);1;357,0;0,0;0
38;Brigitte Roschke (G);CKC II (F);1;343,0;0,0;0
39;Erika Mamsch (G);CKC II (F);0;0,0;0,0;1
39;Klaus Reisewitz Klee;III (g);0;0,0;0,0;1
39;Petra Beschorner CKC;II (F);0;0,0;0,0;1
