place;name;team;games;avg_kegel;mp;plus_ae
1;Anni;Noack Jugend;2;532,5;2,0;0
2;Bruno;Vujnovic Jugend;1;528,0;1,0;2
3;Ralf Mahnecke (EO);KSC IV (g);2;499,0;1,0;0
4;Florian;Weber Jugend;2;493,0;2,0;0
5;Torsten Schwarz Klee;III (g);4;492,0;3,0;0
6;Dieter Stannies (EO);KSC IV (g);1;490,0;1,0;0
7;Melanie Wudtke (G);CKC II (F);2;476,0;1,0;0
8;Maureen Liersch Luft;II (g);4;470,5;2,0;0
9;Emilian;Liss Jugend;3;469,3;1,0;0
10;Toni;Kricke Jugend;2;469,0;2,0;1
11;Annette Lexow Luft;II (g);3;468,0;2,0;0
12;Thomas Ladach Luft;II (g);2;467,0;2,0;0
13;Peter Malter CKC;III (M);2;466,0;2,0;0
14;Ingrid Voigt;KSC IV (g);4;462,8;2,0;0
15;Charlotte Lischke;(U14) Jugend;4;460,8;4,0;0
16;Klaus Winkler CKC;III (M);4;460,8;3,0;0
17;Klaus Henschke CKC;III (M);3;456,0;1,0;0
17;Sabine Gültzow CKC;II (F);3;456,0;1,0;0
19;Julia Reuter Klee;III (g);4;452,0;1,0;0
20;Kurt Krüger CKC;III (M);2;451,0;1,0;0
21;Torsten Reuter Klee;III (g);2;446,0;1,0;0
22;Monika Isensee Klee;III (g);1;444,0;0,0;1
23;Gisela Ludwig CKC;II (F);3;442,3;0,0;0
24;Gabriele Scheffner;KSC IV (g);2;441,0;2,0;0
25;Katrin Kruber Klee;III (g);1;439,0;1,0;0
26;Robert Schild;KSC IV (g);2;438,5;0,0;0
27;Marianne Wudtke (G);CKC II (F);2;438,0;1,0;0
28;Wolfgang Thiede CKC;III (M);1;437,0;1,0;0
29;Bodo Liersch Luft;II (g);2;428,5;1,0;0
30;Klaus Reisewitz Klee;III (g);1;420,0;0,0;1
31;Carsten Woyke (EO);Luft II (g);1;415,0;0,0;0
32;Peter Mahr;KSC IV (g);1;410,0;0,0;3
33;Gudrun Pickel CKC;II (F);1;409,0;1,0;0
34;Rainer Günther CKC;III (M);3;408,3;1,0;0
35;Karin Heinert CKC;II (F);1;406,0;0,0;0
36;Paul Meißner (EO);CKC III (M);1;399,0;0,0;0
37;Klaus Pirl Luft;II (g);2;398,5;1,0;1
38;Thorsten Grätz Luft;II (g);1;373,0;0,0;1
39;Tini Müller Klee;III (g);2;372,5;0,0;0
40;Stefan Porzig;KSC IV (g);1;360,0;0,0;3
41;Marina Kempke CKC;II (F);1;357,0;0,0;1
42;Brigitte Roschke (G);CKC II (F);1;343,0;0,0;0
43;Erika Mamsch (G);CKC II (F);0;0,0;0,0;2
43;Lucas;Lohr Jugend;0;0,0;0,0;1
43;Petra Beschorner CKC;II (F);0;0,0;0,0;1
