place;name;team;games;avg_kegel;mp;plus_ae
1;Tobias;Scheffler Jugend;1;542,0;1,0;0
2;Anni;Noack Jugend;3;527,3;3,0;0
3;Bruno;Vujnovic Jugend;2;512,0;2,0;2
4;Simone Peter (G);CKC II (F);1;506,0;1,0;0
5;Ralf Mahnecke (EO);KSC IV (g);2;499,0;1,0;0
6;Torsten Schwarz Klee;III (g);5;497,4;4,0;0
7;Florian;Weber Jugend;3;496,0;3,0;0
8;Dieter Stannies (EO);KSC IV (g);1;490,0;1,0;0
9;Monika Isensee Klee;III (g);3;482,3;2,0;1
10;Maureen Liersch Luft;II (g);7;481,0;5,0;0
11;Toni;Kricke Jugend;4;480,0;3,0;1
12;Roger Horter (EO);KSC IV (g);2;478,5;1,0;0
13;Annette Lexow Luft;II (g);6;476,8;3,0;0
14;Melanie Wudtke (G);CKC II (F);2;476,0;1,0;0
15;Peter Malter CKC;III (M);3;473,3;3,0;0
16;Emilian;Liss Jugend;5;471,2;1,0;1
17;Thomas Ladach Luft;II (g);2;467,0;2,0;0
18;Charlotte Lischke;(U14) Jugend;6;464,5;5,0;0
19;Gisela Ludwig CKC;II (F);5;461,6;1,0;0
20;Robert Schild;KSC IV (g);5;461,2;2,0;0
21;Klaus Winkler CKC;III (M);4;460,8;3,0;0
22;Ingrid Voigt;KSC IV (g);6;459,0;3,0;0
23;Marianne Wudtke (G);CKC II (F);4;457,3;2,0;0
24;Katrin Kruber Klee;III (g);2;456,5;1,0;0
25;Klaus Henschke CKC;III (M);5;453,8;3,0;0
26;Julia Reuter Klee;III (g);5;453,6;2,0;0
27;Kurt Krüger CKC;III (M);2;451,0;1,0;0
28;Sabine Gültzow CKC;II (F);4;446,3;1,0;0
29;Torsten Reuter Klee;III (g);2;446,0;1,0;0
30;Lennard Sdrojek;KSC IV (g);3;443,3;3,0;0
31;Karin Heinert CKC;II (F);3;440,3;2,0;0
32;Wolfgang Thiede CKC;III (M);2;439,5;2,0;0
33;Gabriele Scheffner;KSC IV (g);4;436,5;3,0;0
34;Bodo Liersch Luft;II (g);5;431,2;2,0;0
35;Klaus Reisewitz Klee;III (g);3;425,3;0,0;1
36;Carsten Woyke (EO);Luft II (g);1;415,0;0,0;0
37;Rainer Günther CKC;III (M);5;413,6;1,0;0
38;Klaus Pirl Luft;II (g);4;411,5;1,0;1
39;Peter Mahr;KSC IV (g);1;410,0;0,0;3
40;Gudrun Pickel CKC;II (F);1;409,0;1,0;1
41;Paul Meißner (EO);CKC III (M);1;399,0;0,0;0
42;Thorsten Grätz Luft;II (g);2;393,0;0,0;1
43;Andreas Wezorke CKC;III (M);2;390,5;0,0;0
44;Tini Müller Klee;III (g);3;378,3;0,0;0
45;Lucas;Lohr Jugend;1;374,0;0,0;2
46;Stefan Porzig;KSC IV (g);1;360,0;0,0;3
47;Marina Kempke CKC;II (F);2;359,5;0,0;1
48;Erika Mamsch (G);CKC II (F);1;356,0;0,0;2
49;Brigitte Roschke (G);CKC II (F);1;343,0;0,0;2
50;Petra Beschorner CKC;II (F);0;0,0;0,0;2
