place;name;team;games;avg_kegel;mp;plus_ae
1;Anni;Noack Jugend;1;539,0;1,0;0
2;Bruno;Vujnovic Jugend;1;528,0;1,0;0
3;Torsten Schwarz Klee;III (g);2;496,5;2,0;0
4;Kurt Krüger CKC;III (M);1;487,0;1,0;0
5;Klaus Winkler CKC;III (M);2;485,5;1,0;0
6;Annette Lexow Luft;II (g);1;484,0;1,0;0
7;Rainer Günther CKC;III (M);1;480,0;1,0;0
7;Ralf Mahnecke (EO);KSC IV (g);1;480,0;0,0;0
9;Toni;Kricke Jugend;1;475,0;1,0;0
10;Ingrid Voigt;KSC IV (g);2;472,0;1,0;0
11;Marianne Wudtke (G);CKC II (F);1;471,0;1,0;0
12;Thomas Ladach Luft;II (g);2;467,0;2,0;0
13;Peter Malter CKC;III (M);2;466,0;2,0;0
14;Emilian;Liss Jugend;2;460,5;1,0;0
14;Maureen Liersch Luft;II (g);2;460,5;1,0;0
16;Julia Reuter Klee;III (g);2;459,0;0,0;0
17;Florian;Weber Jugend;1;457,0;1,0;0
18;Charlotte Lischke;(U14) Jugend;2;455,0;2,0;0
19;Gisela Ludwig CKC;II (F);2;447,0;0,0;0
20;Melanie Wudtke (G);CKC II (F);1;446,0;0,0;0
20;Torsten Reuter Klee;III (g);2;446,0;1,0;0
22;Sabine Gültzow CKC;II (F);2;444,5;0,0;0
23;Monika Isensee Klee;III (g);1;444,0;0,0;0
24;Robert Schild;KSC IV (g);2;438,5;0,0;0
25;Klaus Henschke CKC;III (M);1;437,0;1,0;0
25;Wolfgang Thiede CKC;III (M);1;437,0;1,0;0
27;Tini Müller Klee;III (g);1;426,0;0,0;0
28;Carsten Woyke (EO);Luft II (g);1;415,0;0,0;0
29;Peter Mahr;KSC IV (g);1;410,0;0,0;1
30;Karin Heinert CKC;II (F);1;406,0;0,0;0
31;Klaus Pirl Luft;II (g);2;398,5;1,0;0
32;Stefan Porzig;KSC IV (g);1;360,0;0,0;1
33;Brigitte Roschke (G);CKC II (F);1;343,0;0,0;0
